Date,School,Meal_Type,Rank,Recommended_Dish,Predicted_Score
2025-05-01,Edison High,Lunch,3,1% White Milk,0.1062650206813155
2025-05-01,FALLS CHURCH HS,Breakfast,1,Egg and American Cheese on Biscuit,0.12093471721441106
2025-05-01,FALLS CHURCH HS,Breakfast,2,Red Delicious Apple,0.03861730857775264
2025-05-01,FALLS CHURCH HS,Breakfast,3,Orange Tangerine Juice,0.01996063790605317
2025-05-01,FALLS CHURCH HS,Lunch,1,Doritos Flamas,0.13060448141730388
2025-05-01,FALLS CHURCH HS,Lunch,2,"Turkey,  Breast, Pre-Sliced, Oven Roasted",0.1100658114377581
2025-05-01,FALLS CHURCH HS,Lunch,3,1% White Milk,0.06284281353688691
2025-05-01,Fairfax High,Breakfast,1,Egg and American Cheese on Biscuit,0.14255922478012079
2025-05-01,Fairfax High,Breakfast,2,Strawberry Parfait,0.09981926944914746
2025-05-01,Fairfax High,Breakfast,3,1% White Milk,0.08399286911636086
2025-05-01,Fairfax High,Lunch,1,Chickpeas,0.3097477994756534
2025-05-01,Fairfax High,Lunch,2,Spicy Chicken Wrap,0.24314238533925758
2025-05-01,Fairfax High,Lunch,3,1% White Milk,0.11801142853133795
2025-05-01,Fairfax Villa Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.15161392230208115
2025-05-01,Fairfax Villa Elementary,Breakfast,2,1% White Milk,0.08282783184991688
2025-05-01,Fairfax Villa Elementary,Breakfast,3,"Batter, Pumpkin Bread",0.04030461805518779
2025-05-01,Fairfax Villa Elementary,Lunch,1,Chickpeas,0.2680196832656167
2025-05-01,Fairfax Villa Elementary,Lunch,2,1% White Milk,0.10731362698887369
2025-05-01,Fairfax Villa Elementary,Lunch,3,Italian Dressing,0.08419645774235428
2025-05-01,Fairhill Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.17509173688401988
2025-05-01,Fairhill Elementary,Breakfast,2,1% White Milk,0.0642219591642208
2025-05-01,Fairhill Elementary,Breakfast,3,Banana,0.056805274294318184
2025-05-01,Fairhill Elementary,Lunch,1,Doritos Wild White Nacho Flavored Tortilla Chips,0.11472129477460472
2025-05-01,Fairhill Elementary,Lunch,2,1% White Milk,0.11360616590249238
2025-05-01,Fairhill Elementary,Lunch,3,Italian Dressing,0.08673351598122785
2025-05-01,Fairview Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.1359299664227416
2025-05-01,Fairview Elementary,Breakfast,2,1% White Milk,0.0908336060183611
2025-05-01,Fairview Elementary,Breakfast,3,Strawberry Parfait,0.03877029549510348
2025-05-01,Fairview Elementary,Lunch,1,Doritos Wild White Nacho Flavored Tortilla Chips,0.15074813640523382
2025-05-01,Fairview Elementary,Lunch,2,1% White Milk,0.12409660979386317
2025-05-01,Fairview Elementary,Lunch,3,Italian Dressing,0.10117909528718298
2025-05-01,Flint Hill Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.1668371976638756
2025-05-01,Flint Hill Elementary,Breakfast,2,1% White Milk,0.08832371833329838
2025-05-01,Flint Hill Elementary,Breakfast,3,Orange,0.04467928905932006
2025-05-01,Flint Hill Elementary,Lunch,1,"Salsa, Mild Canned",0.3308465929284661
2025-05-01,Flint Hill Elementary,Lunch,2,Chickpeas,0.3104713541590096
2025-05-01,Flint Hill Elementary,Lunch,3,Doritos Wild White Nacho Flavored Tortilla Chips,0.1526249547011013
2025-05-01,Floris Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.42549725559498375
2025-05-01,Floris Elementary,Breakfast,2,Banana,0.4144072402743266
2025-05-01,Floris Elementary,Breakfast,3,1% White Milk,0.07655795228129639
2025-05-01,Floris Elementary,Lunch,1,Chickpeas,0.27620404986356833
2025-05-01,Floris Elementary,Lunch,2,Asian Meatball Sub,0.23811049948114357
2025-05-01,Floris Elementary,Lunch,3,Doritos Wild White Nacho Flavored Tortilla Chips,0.1526249547011013
2025-05-01,Forest Edge Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.16854242339887318
2025-05-01,Forest Edge Elementary,Breakfast,2,Banana,0.06528215810846637
2025-05-01,Forest Edge Elementary,Breakfast,3,1% White Milk,0.047941690351549944
2025-05-01,Forest Edge Elementary,Lunch,1,Chickpeas,0.27000069654099396
2025-05-01,Forest Edge Elementary,Lunch,2,1% White Milk,0.09187646920873914
2025-05-01,Forest Edge Elementary,Lunch,3,Orange Tangerine Juice,0.07088995574795874
2025-05-01,Forestdale Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.08998201400996372
2025-05-01,Forestdale Elementary,Breakfast,2,Banana,0.05826409677228693
2025-05-01,Forestdale Elementary,Breakfast,3,1% White Milk,0.057337695418002106
2025-05-01,Forestdale Elementary,Lunch,1,Chickpeas,0.31050726953399715
2025-05-01,Forestdale Elementary,Lunch,2,Italian Dressing,0.08673502213416877
2025-05-01,Forestdale Elementary,Lunch,3,1% White Milk,0.08524357079881627
2025-05-01,Forestville Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.4071308776995595
2025-05-01,Forestville Elementary,Breakfast,2,1% White Milk,0.09849925228418785
